Scenario,Attribute,Process,Period,Region,Vintage,Timeslice,Pv
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_UT_US_WY,2020,UT,0,-,1.91
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ME_US_NH,2020,NH,0,-,1.299691
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IN_US_KY,2020,KY,0,-,0.121276705639999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_TN_US_VA,2020,VA,0,-,0.1272095559
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_ME_US_NH,2020,ME,0,-,1.299691
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IN_US_KY,2020,IN,0,-,0.121276705639999
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MD_US_WV,2020,WV,0,-,3.075146
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_TN_US_VA,2020,TN,0,-,0.1272095559
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MD_US_WV,2020,MD,0,-,3.075146
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_WI,2020,WI,0,-,1.72539284291
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MD_US_VA,2020,VA,0,-,4.9664137046
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_SD_US_WY,2020,WY,0,-,2.485
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_WI,2020,IL,0,-,1.72539284291
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MD_US_VA,2020,MD,0,-,4.9664137046
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_IL_US_MO,2020,MO,0,-,3.8801569
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_SD_US_WY,2020,SD,0,-,2.485
fix_cb_ts40,VAR_Cap,TRD_ELCC_AC_US_MD_US_PA,2020,PA,0,-,6.64922471717
